#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-03-02T03:13:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c79f439a1c9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=38	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:J/ApJS/239/2&tab:{J/ApJS/239/2/table2}&key:source=J/ApJS/239/2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/239/2/table2
#-order=I
#-out=TICID
#-out=RAJ2000
#-out=DEJ2000
#-out=Obslen
#-out=Vmag
#-out=Kmag
#-out=Jmag
#-out=Tmag
#-out=R*
#-out=Mass
#-out=Teff
#-out=Dist
#-out=sG
#-out=DetC
#-out=Perp
#-out=Rp
#-out=Nt
#-out=Ars
#-out=Ecc
#-out=Rprs
#-out=Impact
#-out=Dur
#-out=Obsdepth
#-out=Insol
#-out=Noise
#-out=SNR
#-out=2M
#2M=2M
#

#RESOURCE=yCat_22390002
#Name: J/ApJS/239/2
#Title: Simulated exoplanets from TESS list of targets (Barclay+, 2018)
#Table	J_ApJS_239_2_table2:
#Name: J/ApJS/239/2/table2
#Title: Planet and host star properties for every detected planet in our simulation
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	TICID	(I9)	[144875/471012687] TESS Input Catalog ID number of star	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F12.8)	Right ascension, decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F13.9)	Declination, decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Obslen	(F5.1)	[27.4/356.2] Number of days that target is observed	[ucd=time.interval]
#Column	Vmag	(F6.3)	[4/20] V-band magnitude	[ucd=phot.mag;em.opt.V]
#Column	Kmag	(F6.3)	[1.7/14.2] 2MASS Ks-band magnitude	[ucd=phot.mag;em.IR.K]
#Column	Jmag	(F6.3)	[2.3/15] 2MASS J-band magnitude	[ucd=phot.mag;em.IR.J]
#Column	Tmag	(F6.3)	[3.4/16.4] TESS bandpass magnitude	[ucd=phot.mag;em.opt.R]
#Column	R*	(F6.3)	[0.1/11.5] Stellar radius	[ucd=phys.size.radius]
#Column	Mass	(F6.3)	[0.06/2.5] Stellar mass	[ucd=phys.mass]
#Column	Teff	(F7.1)	[2763/11565] Stellar effective temperature	[ucd=phys.temperature]
#Column	Dist	(F9.3)	[2.5/15349]? Distance of the star	[ucd=pos.distance;pos.heliocentric]
#Column	sG	(I1)	[0/1] Was this star randomly selected to be a subgiant? 1=yes; 0=no	[ucd=meta.code]
#Column	DetC	(I1)	[0/1] Was this planet detected using the conservative model? 1=yes; 0=no	[ucd=meta.code]
#Column	Perp	(F9.6)	[0.5/99.4] Orbital period of the planet	[ucd=time.period]
#Column	Rp	(F6.3)	[0.6/22] Radius of the planet	[ucd=phys.size.radius]
#Column	Nt	(I3)	[2/425] Number of transits the planet has	[ucd=meta.number]
#Column	Ars	(F7.3)	[1/243.5] Planet semimajor axis scaled by the stellar radius	[ucd=phys.angSize.smajAxis]
#Column	Ecc	(F9.6)	[9e-06/0.5] Planet orbital eccentricity	[ucd=src.orbital.eccentricity]
#Column	Rprs	(F9.6)	[0.005/0.4] Planet radius scaled by the stellar radius	[ucd=phys.size.radius]
#Column	Impact	(F6.3)	[0/1] Planet impact parameter	[ucd=src.impactParam]
#Column	Dur	(F6.3)	[0.3/37.934] Planet transit duration	[ucd=time.duration]
#Column	Obsdepth	(F9.3)	[25.6/92074] The observed transit depth, corrected for dilution in parts per million	[ucd=src.var.amplitude]
#Column	Insol	(F10.3)	[0.06/242177] Insolation flux the planet receives relative to that received by the Earth from the Sun	[ucd=phot.flux;arith.ratio]
#Column	Noise	(F9.3)	[60/18605] The one-hour integrated noise level of the star in parts per million	[ucd=instr.det.noise]
#Column	SNR	(F8.3)	[7/1542] Combined signal-to-noise ratio of all transits	[ucd=stat.snr]
#Column	2M	(A2)	Display the 2MASS data (Cutri et al. 2003, Cat. II/246)	[ucd=meta.ref.url]
_RAJ2000|_DEJ2000|TICID|RAJ2000|DEJ2000|Obslen|Vmag|Kmag|Jmag|Tmag|R*|Mass|Teff|Dist|sG|DetC|Perp|Rp|Nt|Ars|Ecc|Rprs|Impact|Dur|Obsdepth|Insol|Noise|SNR|2M
058.4549700000|-28.8635100000| 89254948|058.45497000|-28.863510000| 27.4|13.693|11.916|12.324|12.969| 0.995| 0.942| 5414.0|         |0|1| 2.968931|14.088|  9|  8.570| 0.018367| 0.129666| 0.620| 2.511|16788.303|   487.913| 1195.245|  66.777|2M
044.3475000000|-49.8298800000|231291039|044.34750000|-49.829880000| 54.8|12.969|11.187|11.559|12.182| 1.013| 0.955| 5462.0|         |0|1|18.798351| 7.446|  3| 28.935| 0.131742| 0.067306| 0.343| 5.018| 4529.910|    44.343|  697.733|  25.189|2M
046.1932900000|-28.4845700000| 88417872|046.19329000|-28.484570000| 54.8|14.486|10.954|11.768|12.860| 0.635| 0.618| 3967.0|         |0|0|12.167326| 3.284|  5| 29.879| 0.346710| 0.047350| 0.291| 3.131| 2240.956|    11.571| 1106.147|   8.016|2M
056.9740900000|-54.3987100000|358251862|056.97409000|-54.398710000| 82.2|12.828|11.121|11.537|12.108| 1.016| 0.957| 5470.0|         |0|0|22.497154| 3.635|  4| 32.543| 0.160684| 0.032759| 0.275| 5.258| 1070.534|    35.263|  664.999|   7.383|2M
059.3372300000|-80.7184400000|376936415|059.33723000|-80.718440000|109.6|12.788|11.066|11.466|12.058| 1.009| 0.952| 5451.0|         |0|0|19.753412| 3.858|  6| 30.000| 0.093922| 0.035018| 0.566| 4.360| 1208.438|    40.919|  643.917|   9.599|2M
057.8828400000|+49.7876200000|428905003|057.88284000|+49.787620000| 27.4| 9.419| 7.738| 8.156| 8.778| 0.902| 1.108| 6004.0|   66.837|0|0|10.885453| 3.397|  2| 23.718| 0.032938| 0.034476| 0.043| 3.625|  854.052|    96.359|  118.803|  19.357|2M
042.0331500000|-36.9814500000|152357197|042.03315000|-36.981450000| 27.4| 7.830| 6.052| 6.559| 7.215| 3.446| 0.934| 5985.0|  142.890|0|0|18.431830| 5.583|  2|  8.331| 0.089093| 0.014832| 0.996| 3.348|  219.986|   771.129|   76.237|   7.467|2M
038.1869100000|+38.0934500000|139372947|038.18691000|+38.093450000| 27.4|13.371| 9.246|10.196|11.351| 0.530| 0.573| 3776.0|         |0|0|11.987968| 2.480|  2| 34.557| 0.097556| 0.042835| 0.800| 1.772| 1702.998|     7.101|  417.142|   7.686|2M
074.0588500000|-25.0679100000|   709291|074.05885000|-25.067910000| 27.4|14.192| 9.239|10.083|11.536| 0.350| 0.355| 3428.0|         |0|1| 4.313188| 1.934|  6| 22.567| 0.028441| 0.050599| 0.419| 1.408| 1866.166|    11.311|  465.552|  11.649|2M
070.9885500000|-32.7852700000|  1167318|070.98855000|-32.785270000| 54.8| 9.858| 8.823| 9.150| 9.549| 1.587| 1.325| 6487.0|  208.092|0|1| 8.550589| 3.558|  7| 12.183| 0.128255| 0.020524| 0.043| 5.474|  419.937|   497.696|  163.603|  15.888|2M
072.2349000000|-32.0217300000|  1249922|072.23490000|-32.021730000| 54.8|11.381| 9.878|10.187|10.679| 2.490| 1.047| 5775.6|  487.143|0|1| 3.571584|10.133| 15|  4.010| 0.080716| 0.037250| 0.769| 4.872| 1380.965|  2886.301|  286.087|  41.266|2M
074.1758500000|-34.4650300000|  1367839|074.17585000|-34.465030000| 54.8|12.104|10.685|11.019|11.473| 1.598| 1.084| 5938.0|  466.995|0|1|18.809940| 6.247|  3| 19.138| 0.007473| 0.035782| 0.523| 6.719| 1211.000|   141.589|  448.333|  12.127|2M
078.5932400000|+32.6555900000|  1755665|078.59324000|+32.655590000| 27.4|13.183|10.721|11.305|12.192| 1.311| 0.737| 4848.0|         |1|1| 1.920338|14.348| 14|  4.484| 0.072545| 0.100229| 0.315| 3.490| 6801.455|  1146.174|  702.302|  67.694|2M
079.1517100000|+31.4879000000|  2096308|079.15171000|+31.487900000| 27.4|10.114| 8.200| 8.650| 9.355| 0.751| 0.913| 5307.0|   65.223|0|1| 2.911985| 1.875| 10| 11.086| 0.083921| 0.022850| 0.019| 2.055|  517.292|   269.211|  150.159|  15.617|2M
082.8335700000|+34.3999900000|  3461357|082.83357000|+34.399990000| 27.4|12.420|11.294|11.515|11.963| 1.782| 1.631| 7250.0|  838.733|0|1| 7.013644|11.032|  4| 10.188| 0.051255| 0.056669| 0.278| 5.373| 2572.378|  1110.266|  606.023|  19.678|2M
082.9712000000|+31.4290300000|  3549432|082.97120000|+31.429030000| 27.4|11.882|10.716|10.883|11.374| 2.200| 2.138| 8571.0|  997.128|0|1| 4.137040|15.825|  7|  6.352| 0.044360| 0.065847| 0.177| 5.256| 3890.022|  5579.252|  422.814|  55.805|2M
080.2302200000|-46.6181300000|  7320573|080.23022000|-46.618130000| 82.2|11.110| 9.594| 9.979|10.582| 1.011| 1.043| 5804.0|  176.295|0|1| 6.935613| 3.415| 12| 15.359| 0.040391| 0.030929| 0.320| 3.384|  819.581|   200.663|  271.673|  19.224|2M
081.4753800000|-44.1520200000|  7444739|081.47538000|-44.152020000| 54.8| 9.333| 8.287| 8.493| 8.902| 1.506| 1.392| 6688.8|  158.296|0|1| 5.047206| 4.679| 10|  9.183| 0.037185| 0.028440| 0.843| 2.483|  805.801|   990.225|  124.588|  32.226|2M
063.5905800000|-36.9833800000|  7586796|063.59058000|-36.983380000| 27.4| 9.799| 8.400| 8.731| 9.245| 1.682| 1.096| 6130.2|  183.161|0|1| 5.375217|12.172|  5|  7.918| 0.042482| 0.066254| 0.641| 4.441| 4389.511|   939.495|  143.246| 144.398|2M
065.1142600000|-40.7934700000|  7652789|065.11426000|-40.793470000| 54.8|12.370|10.709|10.947|11.463| 1.535| 0.996| 5622.0|  438.537|0|1| 8.135448|17.419|  7| 11.075| 0.016709| 0.103864| 0.094| 6.182|10709.145|   339.756|  445.671| 158.077|2M
067.5709100000|+55.5031300000|  9134886|067.57091000|+55.503130000| 27.4| 9.663| 8.422| 8.536| 9.090| 1.438| 1.521| 6952.0|  158.380|0|1| 1.807090| 3.932| 16|  4.997| 0.015087| 0.025041| 0.567| 2.386|  415.577|  3902.594|  134.299|  19.120|2M
073.8836200000|-10.6300900000|  9459262|073.88362000|-10.630090000| 27.4|10.246| 9.076| 9.392| 9.827| 2.340| 1.512| 6486.6|         |0|1| 8.841793| 6.201|  4|  8.831| 0.030222| 0.024263| 0.455| 7.042|  585.523|   946.976|  186.018|  16.706|2M
089.5456800000|-37.3642500000| 20143687|089.54568000|-37.364250000| 54.8| 9.354| 8.088| 8.363| 8.936| 1.456| 1.333| 6438.0|         |0|1|19.422836| 2.854|  3| 22.995| 0.022103| 0.017950| 0.080| 6.550|  313.841|   135.517|  126.257|  11.019|2M
089.5456800000|-37.3642500000| 20143687|089.54568000|-37.364250000| 54.8| 9.354| 8.088| 8.363| 8.936| 1.456| 1.333| 6438.0|         |0|1| 6.958711| 3.599|  8| 11.600| 0.016395| 0.022633| 0.040| 4.689|  498.958|   532.566|  126.257|  24.205|2M
076.1901200000|-28.4378100000| 13092656|076.19012000|-28.437810000| 27.4|12.207|10.860|11.186|11.719| 1.452| 1.116| 6024.0|  464.361|0|1| 2.044718|14.221| 13|  4.844| 0.063539| 0.089665| 0.443| 3.249| 7900.039|  2340.633|  520.330|  98.672|2M
076.7374900000|-29.6023600000| 13135572|076.73749000|-29.602360000| 27.4|10.001| 8.474| 8.866| 9.414| 1.432| 1.016| 5705.0|  148.163|0|0|15.411957| 5.320|  2| 18.308| 0.041403| 0.034012| 0.399| 6.140| 1135.091|   131.829|  154.073|  25.816|2M
076.6305300000|-29.4540100000| 13135619|076.63053000|-29.454010000| 27.4|13.620| 9.133| 9.869|11.292| 0.366| 0.375| 3460.0|         |0|0|14.116560| 2.241|  2| 48.449| 0.097400| 0.056045| 0.648| 1.857| 3076.544|     2.547|  403.010|  14.713|2M
077.6007300000|-28.0156300000| 13223161|077.60073000|-28.015630000| 27.4|14.086| 9.415|10.256|11.700| 0.405| 0.422| 3532.0|         |0|0| 2.053324| 1.841| 13| 12.596| 0.168520| 0.041605| 0.905| 0.645| 1627.965|    40.918|  514.292|   9.164|2M
073.7622300000|-38.0181600000| 13883077|073.76223000|-38.018160000| 54.8|13.559|11.652|12.096|12.787| 0.943| 0.904| 5275.0|         |0|1| 0.968031| 8.137| 57|  4.224| 0.071073| 0.078973| 0.190| 1.882| 6225.809|  1810.468| 1050.759|  61.368|2M
074.3045100000|-37.2617200000| 13913609|074.30451000|-37.261720000| 54.8|12.403|10.888|11.189|11.713| 1.129| 1.033| 5768.0|         |0|0|10.290207| 3.577|  5| 17.834| 0.116291| 0.029004| 0.043| 4.534|  820.373|   145.177|  518.414|   7.535|2M
087.5098200000|-38.1192900000| 21649340|087.50982000|-38.119290000| 54.8| 9.746| 8.717| 8.962| 9.365| 3.076| 1.460| 6794.0|  390.661|0|1| 2.156364| 7.579| 26|  2.592| 0.046841| 0.022560| 0.278| 6.451|  507.991| 13230.760|  150.812|  43.625|2M
087.6812400000|-36.1806800000| 21650521|087.68124000|-36.180680000| 54.8|11.834|10.412|10.725|11.267| 2.647| 1.105| 5777.8|  312.625|1|1| 3.113542| 6.031| 18|  3.506| 0.116380| 0.020858| 0.495| 6.205|  430.962|  3781.730|  397.200|  11.467|2M
075.3709200000|-11.5359300000| 43602902|075.37092000|-11.535930000| 27.4|17.197|11.264|12.119|13.900| 0.205| 0.177| 3117.0|         |1|0| 8.979966| 2.426|  3| 49.815| 0.159146| 0.108321| 0.552| 1.324|11715.525|     1.587| 2397.586|   9.738|2M
061.0733400000|-25.0484800000| 44739474|061.07334000|-25.048480000| 27.4| 9.813| 8.472| 8.782| 9.275| 2.132| 1.149| 6399.7|  254.179|0|1| 2.604251|14.436| 11|  3.913| 0.024601| 0.061977| 0.624| 4.464| 3829.438|  4568.779|  145.083| 184.950|2M
081.7146900000|-31.5250300000| 24400228|081.71469000|-31.525030000| 27.4|12.461|11.089|11.442|11.890| 1.234| 1.112| 6015.0|         |0|0| 5.566667| 4.613|  5| 11.102| 0.037583| 0.034218| 0.535| 3.398| 1138.671|   443.048|  578.713|   8.111|2M
085.0928800000|-13.7871900000| 46636273|085.09288000|-13.787190000| 27.4|11.664| 9.517|10.018|10.727| 0.753| 0.896| 5246.0|  117.450|0|1| 7.539240| 3.195|  3| 20.736| 0.214803| 0.038858| 0.869| 1.583| 1481.039|    73.478|  293.575|  10.995|2M
085.7207400000|-13.7028900000| 46743289|085.72074000|-13.702890000| 27.4|10.134| 8.814| 9.129| 9.619| 1.451| 1.435| 6732.0|  188.109|0|1| 5.682773| 6.515|  5| 10.423| 0.014844| 0.041113| 0.730| 3.102| 1689.401|   788.629|  168.878|  39.399|2M
081.2456900000|-08.2354160000| 24700865|081.24569000|-08.235416000| 27.4|10.988| 9.997|10.196|10.564| 1.989| 1.698| 7425.0|  472.492|0|0|11.327144| 7.149|  2| 12.734| 0.049104| 0.032900| 0.806| 4.402| 1076.717|   781.846|  269.100|  11.872|2M
061.3037800000|-69.1118500000| 25081575|061.30378000|-69.111850000|356.2|10.636| 8.769| 9.253| 9.900| 0.856| 0.952| 5443.9|   97.356|0|0| 4.584373| 1.229| 78| 13.352| 0.028439| 0.013148| 0.850| 1.449|  172.722|   205.516|  192.595|   9.534|2M
067.7504800000|+63.6325100000| 65685208|067.75048000|+63.632510000| 27.4|11.270| 9.685|10.114|10.761| 0.917| 0.997| 5627.0|  164.456|0|0|16.141584| 3.733|  2| 29.279| 0.013269| 0.037259| 0.094| 4.352| 1375.397|    48.783|  299.027|  13.569|2M
062.9894100000|-70.0418900000| 25153195|062.98941000|-70.041890000|356.2|12.626|10.924|11.277|11.871| 1.200| 1.085| 5939.0|         |0|1|27.128874| 3.688| 13| 32.556| 0.173803| 0.028147| 0.248| 6.353|  676.099|    48.963|  571.849|  10.744|2M
062.9894100000|-70.0418900000| 25153195|062.98941000|-70.041890000|356.2|12.626|10.924|11.277|11.871| 1.200| 1.085| 5939.0|         |0|1| 6.782587| 8.987| 52| 12.920| 0.002503| 0.068585| 0.119| 4.264| 4014.257|   310.870|  571.849| 104.528|2M
068.0752300000|+63.0014800000| 65786315|068.07523000|+63.001480000| 27.4|15.430| 9.754|10.573|12.211| 0.230| 0.207| 3178.0|         |0|1| 0.965566| 1.474| 28| 10.578| 0.081575| 0.058659| 0.901| 0.390| 2322.389|    38.029|  711.083|  10.787|2M
086.3900200000|-11.1762800000| 66494565|086.39002000|-11.176280000| 27.4|11.381| 9.755|10.148|10.706| 1.525| 1.074| 5908.0|  285.743|0|1| 4.992270|16.900|  5|  8.259| 0.146721| 0.101463| 0.708| 3.923| 9941.378|   744.976|  290.269| 151.686|2M
086.8539700000|-09.9905540000| 66564301|086.85397000|-09.990554000| 27.4|10.323| 9.251| 9.475| 9.900| 4.048| 1.544| 7012.0|  331.600|1|0| 4.228591| 6.279|  7|  3.143| 0.085243| 0.014202| 0.187|10.447|  200.323| 10206.644|  192.595|   8.895|2M
089.6321200000|-09.8252070000| 67261694|089.63212000|-09.825207000| 27.4|11.031| 9.840|10.115|10.565| 1.511| 1.580| 7112.0|  323.809|0|1| 4.290475|12.272|  6|  8.567| 0.072057| 0.074338| 0.955| 1.898| 5467.990|  1454.038|  269.242|  68.526|2M
082.1143900000|-01.9027090000| 50588990|082.11439000|-01.902709000| 27.4|11.248| 9.784|10.195|10.824| 2.378| 1.040| 5793.0|  453.962|0|0| 5.545091| 5.894|  5|  5.619| 0.027616| 0.022691| 0.348| 7.300|  482.840|  1488.029|  309.467|   9.426|2M
083.3630200000|-02.0246490000| 50897219|083.36302000|-02.024649000| 27.4|10.241| 8.875| 9.179| 9.687| 1.507| 1.279| 6389.0|  196.642|0|0|15.657083| 3.554|  2| 18.980| 0.073665| 0.021594| 0.737| 4.460|  464.867|   192.947|  174.233|   7.968|2M
064.8931200000|-67.7472300000| 29778746|064.89312000|-67.747230000|356.2|12.039|10.459|10.755|11.225| 1.925| 1.040| 6150.2|  574.253|0|1|12.021739| 3.828| 29| 11.626| 0.005597| 0.018205| 0.220| 7.865|  327.050|   441.579|  387.667|  12.741|2M
065.1097700000|-12.7311700000| 70985176|065.10977000|-12.731170000| 54.8|10.521| 9.330| 9.646|10.073| 2.907| 1.308| 6451.0|         |1|0|23.681033|10.848|  2| 13.060| 0.073784| 0.034163| 0.612|11.567| 1163.270|   423.518|  209.469|  26.711|2M
079.5554400000|-26.5013400000| 30948205|079.55544000|-26.501340000| 27.4|17.640|11.923|12.670|14.573| 0.162| 0.127| 2987.0|         |1|0| 7.353859| 2.080|  4| 49.397| 0.141307| 0.117518| 0.162| 1.258|13667.667|     1.361| 4094.374|   7.487|2M
082.9130800000|-24.7589600000| 31305113|082.91308000|-24.758960000| 27.4|10.413| 9.081| 9.430| 9.900| 1.846| 1.102| 5988.0|  259.985|0|1| 2.610123| 7.277| 11|  4.465| 0.005915| 0.036087| 0.781| 3.101| 1293.547|  2689.693|  192.595|  39.224|2M
088.0775100000|-66.1920200000| 31309353|088.07751000|-66.192020000|219.2|12.280|10.611|10.991|11.562| 0.841| 0.948| 5544.3|         |0|0|13.015216| 2.277| 17| 27.218| 0.106315| 0.024787| 0.162| 3.698|  565.749|    53.207|  472.893|   9.485|2M
083.9430500000|-29.0880200000| 31476020|083.94305000|-29.088020000| 27.4| 9.770| 7.704| 8.252| 8.985| 1.791| 0.866| 5136.0|         |1|0| 3.807005| 2.850|  7|  5.463| 0.023868| 0.014570| 0.526| 4.659|  212.181|   972.387|  128.729|   9.413|2M
088.8495400000|-71.4338700000| 31505975|088.84954000|-71.433870000|328.8|10.684| 9.085| 9.465|10.019| 1.208| 1.091| 5957.0|         |0|1|27.489127| 3.880| 12| 32.689| 0.072925| 0.029419| 0.907| 3.134|  855.505|    49.157|  203.999|  25.717|2M
082.5938100000|-19.4492200000| 92845836|082.59381000|-19.449220000| 27.4|12.593|11.045|11.408|11.946| 1.176| 1.067| 5884.0|         |0|1| 9.347881|10.168|  3| 16.232| 0.029591| 0.079168| 0.380| 4.448| 5908.282|   189.757|  599.527|  35.999|2M
086.1087400000|-20.5155100000| 93278224|086.10874000|-20.515510000| 54.8|12.289|10.692|11.052|11.631| 1.123| 1.029| 5752.0|         |0|0| 8.372584| 3.540|  7| 15.607| 0.162640| 0.028861| 0.290| 4.048|  806.440|   187.456|  493.065|   8.707|2M
086.8475600000|-18.7097500000| 93375269|086.84756000|-18.709750000| 54.8|11.809| 9.703|10.228|10.956| 0.860| 0.834| 5021.0| 1045.073|0|1| 6.560310| 3.627|  8| 16.155| 0.014094| 0.038618| 0.945| 1.340| 1445.604|   101.587|  332.852|  14.218|2M
086.9192400000|-21.3408900000| 93419411|086.91924000|-21.340890000| 54.8|10.912| 9.309| 9.733|10.283| 1.158| 1.034| 5771.0|  175.710|0|0|22.511864| 3.340|  2| 29.307| 0.184649| 0.026408| 0.170| 5.941|  683.676|    53.869|  232.654|  10.129|2M
070.7187300000|-62.6513400000| 55451697|070.71873000|-62.651340000|356.2|10.483| 9.171| 9.449| 9.916| 1.564| 1.185| 6471.4|  257.118|0|1|58.334891| 3.191|  7| 42.837| 0.036840| 0.018675| 0.729| 7.399|  348.615|    39.869|  194.078|  12.927|2M
070.9327100000|-65.4933900000| 55453224|070.93271000|-65.493390000|328.8|11.642|10.043|10.445|10.982| 1.352| 0.992| 5608.0|  285.230|0|1|47.815918| 4.158|  7| 40.905| 0.019821| 0.028148| 0.679| 6.899|  790.014|    24.657|  337.714|  16.256|2M
071.5097500000|-64.1065900000| 55498577|071.50975000|-64.106590000|356.2|10.812| 9.763| 9.979|10.428| 1.759| 1.389| 6373.2|  328.434|0|0| 5.256212| 2.379| 67|  8.072| 0.014298| 0.012381| 0.697| 3.673|  148.973|  1056.185|  250.618|   9.324|2M
072.9523400000|-64.8767000000| 55555531|072.95234000|-64.876700000|328.8|10.910| 8.953| 9.421|10.115| 1.912| 0.914| 5310.0|  362.365|1|1| 7.463380| 3.577| 44|  8.161| 0.000397| 0.017130| 0.314| 6.780|  292.138|   497.951|  213.857|  23.594|2M
073.3035600000|-60.0557000000| 55604222|073.30356000|-60.055700000|328.8|10.392| 9.158| 9.516|10.017| 1.145| 1.141| 6158.5|         |0|0|34.888638| 1.989| 10| 41.015| 0.005789| 0.015902| 0.749| 4.459|  250.599|    35.669|  203.800|   8.211|2M
073.3035600000|-60.0557000000| 55604222|073.30356000|-60.055700000|328.8|10.392| 9.158| 9.516|10.017| 1.145| 1.141| 6158.5|         |0|1| 3.210431| 2.069|102|  8.360| 0.039395| 0.016545| 0.147| 2.959|  271.289|   858.584|  203.800|  23.125|2M
074.1514700000|-62.3333300000| 55652495|074.15147000|-62.333330000|328.8|13.403|11.507|11.920|12.570| 0.964| 0.920| 5332.0|         |0|1|13.654386| 3.382| 24| 24.263| 0.003245| 0.032120| 0.236| 4.321| 1016.143|    57.273|  904.189|  11.445|2M
074.5311900000|-62.6314900000| 55664786|074.53119000|-62.631490000|356.2|12.850|11.110|11.518|12.131| 1.003| 0.992| 5496.5|         |0|1| 8.915722| 3.685| 40| 18.005| 0.033834| 0.033650| 0.033| 3.910|  913.487|   117.443|  674.973|  16.926|2M
075.2589300000|-65.8433300000| 55758083|075.25893000|-65.843330000|356.2|10.491| 9.233| 9.450| 9.876| 1.820| 1.555| 6342.7|  233.051|0|0|28.954940| 2.871| 13| 25.269| 0.083526| 0.014441| 0.150| 8.785|  165.465|   105.729|  190.399|   9.287|2M
088.1341100000|-22.7755400000| 33550619|088.13411000|-22.775540000| 54.8|10.563| 7.356| 8.131| 9.176| 1.358| 0.658| 4207.0|   32.526|1|1|13.371646| 3.325|  5| 15.194| 0.112100| 0.022417| 0.840| 3.924|  498.615|    56.600|  139.153|  15.873|2M
075.8866200000|-62.9546100000| 55851061|075.88662000|-62.954610000|328.8|10.851| 9.416| 9.735|10.256| 1.593| 1.110| 5947.4|         |0|0|76.723094| 2.860|  4| 49.408| 0.067844| 0.016437| 0.312|11.475|  265.109|    21.380|  229.493|   7.826|2M
075.9082100000|-63.7473200000| 55851559|075.90821000|-63.747320000|328.8|12.579|10.684|11.167|11.819| 0.860| 0.873| 5316.8|         |0|1|19.203685| 2.629| 17| 33.548| 0.124172| 0.027987| 0.758| 3.037|  771.843|    29.615|  553.559|  10.018|2M
061.9427700000|-73.8238000000| 33736110|061.94277000|-73.823800000|328.8|11.840|10.199|10.533|11.118| 1.210| 1.093| 5962.0|         |0|1|22.904904| 3.572| 14| 28.907| 0.184275| 0.027031| 0.499| 5.435|  729.884|    63.071|  364.622|  17.461|2M
063.6047200000|-77.5678000000| 33832707|063.60472000|-77.567800000|164.4|11.558|10.598|10.880|11.396| 1.540| 1.390| 6628.0| 1694.975|0|0|22.176392| 3.685|  8| 24.085| 0.086694| 0.021910| 0.282| 6.912|  462.202|   138.777|  428.328|   8.024|2M
070.2861700000|-10.9559100000| 56097747|070.28617000|-10.955910000| 27.4|11.563| 9.897|10.286|10.813| 1.131| 1.034| 5772.0|         |0|1| 5.346828| 6.710|  6| 11.514| 0.067353| 0.054335| 0.001| 3.745| 2952.170|   349.230|  307.612|  45.496|2M
072.5885600000|+33.7070300000| 96166003|072.58856000|+33.707030000| 27.4|11.151| 9.153| 9.658|10.360| 0.869| 0.872| 5157.0|  115.161|0|0|15.592607| 2.585|  2| 28.900| 0.004988| 0.027251| 0.200| 4.154|  707.274|    35.324|  241.980|   8.425|2M
082.1712900000|-09.3587120000| 34392874|082.17129000|-09.358712000| 27.4|11.375| 9.661|10.058|10.601| 1.317| 1.183| 6184.0|         |0|1| 2.310454| 3.667| 11|  5.909| 0.110349| 0.025491| 0.438| 2.789|  641.761|  1747.026|  274.424|  12.953|2M
074.1336700000|+33.0274500000| 96784659|074.13367000|+33.027450000| 27.4|13.223|10.567|11.033|11.961| 3.395| 1.544| 7014.0|         |1|1| 3.847778|14.009|  7|  3.519| 0.014559| 0.037774| 0.733| 6.330| 1355.750|  8151.566|  605.255|  14.910|2M
069.1665100000|-37.9316600000| 77229116|069.16651000|-37.931660000| 54.8|16.018|10.529|11.373|12.970| 0.288| 0.277| 3304.0|         |0|1| 3.124368| 2.448| 17| 20.365| 0.034178| 0.077824| 0.339| 1.200| 5279.502|    11.986| 1196.099|  19.935|2M
072.6355000000|-36.8640100000| 77370276|072.63550000|-36.864010000| 54.8|11.614| 9.704|10.084|10.716| 1.074| 0.907| 5283.0|  186.136|0|1|18.223350| 3.978|  3| 26.267| 0.058247| 0.033901| 0.154| 5.420| 1112.588|    47.097|  291.837|  15.373|2M
078.9311400000|-34.5051600000| 77896766|078.93114000|-34.505160000| 27.4|11.554|10.338|10.620|11.094| 1.917| 1.248| 6495.8|  524.870|0|1| 5.086261| 6.770|  6|  6.991| 0.013420| 0.032326| 0.772| 3.839| 1043.430|  1519.412|  359.686|  13.922|2M
